,Date,Close,High,Low,Open,Volume
2,9/1/2020,5771.082031,5771.082031,5523.244153,5558.649564,67446000
3,9/2/2020,5695.846191,5806.488114,5633.886715,5771.082699,66065000
4,9/3/2020,5753.378906,5753.378906,5576.351863,5722.399174,68208500
5,9/4/2020,5647.163086,5709.122556,5545.372529,5709.122556,80613500
6,9/7/2020,5563.075195,5629.460341,5487.838697,5607.331959,64249500
7,9/8/2020,5607.332031,5629.460413,5563.075267,5563.075267,39649000
8,9/9/2020,5527.669434,5594.054575,5496.689701,5576.351871,49285000
9,9/10/2020,5142.635742,5505.54119,5142.635742,5505.54119,175735000
10,9/11/2020,5226.724121,5288.683594,4974.460552,5133.784911,403032500
11,9/14/2020,5355.067871,5412.601658,5297.534084,5310.811112,138115000
12,9/15/2020,5186.89209,5399.32453,5186.89209,5346.21642,170087000
13,9/16/2020,5089.527344,5195.743567,5085.101668,5186.892215,158565500
14,9/17/2020,5093.953125,5182.466646,5014.290956,5089.527449,138796000
15,9/18/2020,4983.311523,5076.250726,4930.203408,5045.270992,316912000
16,9/21/2020,4961.182617,5076.250189,4952.331266,4992.162348,112443000
17,9/22/2020,4823.987305,4925.777862,4806.284599,4885.946775,163442500
18,9/23/2020,4872.669922,4943.480747,4801.859096,4823.987479,100517000
19,9/24/2020,4819.561035,4899.223201,4770.8786,4806.284008,88618500
20,9/25/2020,4965.608398,4978.885426,4832.83812,4850.540824,100705000
21,9/28/2020,4881.521484,5040.845848,4868.244454,5001.014757,93522000
22,9/29/2020,4872.669922,4987.737513,4832.838833,4934.629394,117778500
23,9/30/2020,4797.433594,4925.778219,4797.433594,4925.778219,107377000
24,10/1/2020,4930.203613,4930.203613,4850.541436,4854.967113,56893000
25,10/2/2020,4872.669922,4925.778041,4815.136126,4921.352364,66848000
26,10/5/2020,4885.946777,4921.352189,4832.83866,4881.521101,58291000
27,10/6/2020,5045.271484,5058.548515,4956.75795,4983.31201,141955500
28,10/7/2020,5093.953125,5093.953125,4939.054464,4956.757168,89937500
29,10/8/2020,5116.081543,5133.784247,5054.122078,5124.932895,77384500
30,10/9/2020,5111.65625,5111.65625,5062.97381,5089.527868,54250500
31,10/12/2020,5182.466309,5200.169012,5160.33793,5169.189281,82918500
32,10/13/2020,5182.466309,5186.891984,5107.229821,5169.189281,48250500
33,10/14/2020,5222.297363,5222.297363,5142.6352,5169.189255,83117500
34,10/15/2020,5120.507324,5204.595171,5098.378943,5200.169495,82067000
35,10/16/2020,5098.378418,5124.932472,5071.824364,5120.506797,89051500
36,10/19/2020,5222.297363,5222.297363,5054.121685,5089.527091,56871500
37,10/20/2020,5138.210449,5204.595597,5120.507743,5204.595597,74995500
38,10/21/2020,5116.081543,5191.318036,5071.824782,5186.89236,77944000
39,10/22/2020,5133.78418,5133.78418,5049.696335,5080.676067,96872500
40,10/23/2020,5107.230469,5169.189937,5089.527763,5169.189937,66328000
41,10/26/2020,5147.061523,5164.764229,5067.39935,5067.39935,70452500
42,10/27/2020,5124.932617,5160.338024,5093.952886,5147.060996,89482000
43,11/2/2020,5151.487305,5155.912981,5062.973777,5098.379188,151006500
44,11/3/2020,5213.446289,5217.871965,5164.763853,5169.189529,78152000
45,11/4/2020,5151.487305,5257.703538,5120.50757,5222.298127,78626000
46,11/5/2020,5443.581543,5470.135599,5222.29774,5222.29774,161090000
47,11/6/2020,5576.352539,5576.352539,5363.920061,5452.433594,137303500
48,11/9/2020,5563.075195,5664.865752,5501.115726,5576.352224,82739500
49,11/10/2020,5735.676758,5841.892994,5647.163228,5660.440257,191073500
50,11/11/2020,5788.784668,5810.91305,5735.676552,5788.784668,131383500
51,11/12/2020,5682.568359,5748.953504,5669.29133,5673.717007,83082500
52,11/13/2020,5656.01416,5709.122274,5594.054694,5682.568217,82374500
53,11/16/2020,5735.676758,5740.102434,5651.588904,5740.102434,54905000
54,11/17/2020,5797.636719,5810.913749,5744.528596,5753.37995,119784000
55,11/18/2020,5815.338379,5819.764055,5788.784322,5797.635675,99789000
56,11/19/2020,5855.169922,5877.298304,5766.656393,5771.08207,147346500
57,11/20/2020,5841.892578,5886.14934,5797.635816,5877.297988,68468500
58,11/23/2020,5841.892578,5850.743931,5797.635816,5841.892578,75265500
59,11/24/2020,5810.912598,5841.89233,5793.209894,5841.89233,72349500
60,11/25/2020,5673.717285,5828.615963,5647.163226,5824.190286,170140500
61,11/26/2020,5735.676758,5744.528111,5576.352403,5620.609169,64339000
62,11/27/2020,5651.588379,5744.527577,5647.162703,5735.676225,87361500
63,11/30/2020,5492.26416,5664.865532,5430.304693,5651.588503,393091500
64,12/1/2020,5660.44043,5695.845843,5505.541747,5505.541747,114563500
65,12/2/2020,5709.12207,5740.101802,5611.757198,5717.973422,93897500
66,12/3/2020,5717.973145,5775.50693,5686.993414,5753.378551,98210000
67,12/4/2020,5656.01416,5722.399303,5629.460103,5717.973627,64995500
68,12/7/2020,5771.082031,5824.190148,5735.67662,5753.379326,96636000
69,12/8/2020,5744.527832,5771.08189,5686.99404,5771.08189,70561500
70,12/10/2020,5837.393555,5859.588967,5806.319977,5850.710802,151420500
71,12/11/2020,5979.444336,6019.39608,5855.150022,5859.589104,214160000
72,12/14/2020,6054.908691,6063.786857,6032.713278,6037.152361,179785500
73,12/15/2020,6028.273926,6125.933739,5864.027876,6063.786585,164024500
74,12/16/2020,6170.324707,6170.324707,6072.664892,6090.421222,138674000
75,12/17/2020,6157.007813,6214.715889,6054.908909,6183.642309,91920000
76,12/18/2020,6037.151855,6157.007076,5997.200115,6157.007076,147238500
77,12/21/2020,6063.786621,6117.05561,6037.152126,6117.05561,93692500
78,12/22/2020,5961.687988,6054.908724,5957.248906,5983.883401,61790500
79,12/23/2020,5970.565918,6130.372887,5877.345186,6130.372887,76948000
80,12/28/2020,6019.395996,6054.908657,5912.858014,6028.274161,60234000
81,12/29/2020,6006.079102,6046.030847,5983.883687,6014.957267,34212500
82,12/30/2020,6010.51709,6037.151582,5948.369941,6037.151582,52675500
83,1/4/2021,6068.226074,6085.982405,5966.127172,6037.152495,47937000
84,1/5/2021,6294.618652,6294.618652,6081.542704,6090.420868,104831000
85,1/6/2021,6165.885742,6281.30189,6108.177668,6259.106477,89753500
86,1/7/2021,6183.641602,6259.106,6134.811697,6214.715177,71360000
87,1/8/2021,6259.105957,6285.74045,6192.519723,6245.78871,75033500
88,1/11/2021,6521.012207,6534.329455,6343.448907,6347.887989,169034500
89,1/12/2021,6356.765625,6552.085239,6356.765625,6521.011664,95235000
90,1/13/2021,6321.253418,6458.864974,6276.862593,6432.230479,76581500
91,1/14/2021,6232.47168,6294.618833,6210.276268,6259.106174,89319500
92,1/15/2021,6174.763672,6303.497063,6072.664776,6299.05798,89853500
93,1/18/2021,6321.253418,6325.6925,6077.103883,6174.763697,86343000
94,1/19/2021,6299.058105,6321.253518,6219.15462,6321.253518,73777000
95,1/20/2021,6299.058105,6476.621407,6276.862693,6361.205261,107216000
96,1/21/2021,6281.302246,6481.060975,6267.984998,6463.304643,66428000
97,1/22/2021,6285.741211,6356.766535,6281.302128,6281.302128,80829000
98,1/25/2021,6245.789551,6392.279284,6214.715971,6392.279284,76836500
99,1/26/2021,6054.908691,6214.715666,6054.908691,6174.763922,98658000
100,1/27/2021,6028.273926,6152.568234,5952.809525,6054.90842,97920000
101,1/28/2021,6125.933594,6148.129005,6028.273783,6028.273783,104627000
102,1/29/2021,6001.63916,6214.715107,6001.63916,6125.933462,132762500
103,2/1/2021,6054.908691,6143.690344,5855.149974,6001.6397,113129000
104,2/2/2021,6037.151855,6196.958816,6037.151855,6183.64157,86741000
105,2/3/2021,6059.347168,6214.715044,6059.347168,6214.715044,67291000
106,2/4/2021,6085.982422,6214.715821,6068.226091,6143.690497,80950500
107,2/5/2021,6139.251953,6170.325535,6085.982956,6099.300205,51602000
108,2/8/2021,6143.690918,6263.54616,6108.178254,6259.107077,45604000
109,2/9/2021,6196.959473,6241.3503,6174.764059,6214.715804,75574000
